arm,metric,delta_hat_pp,ci_low_pp,ci_high_pp,threshold_pp,pass
mens,visit,7.6589563651531245,6.99250411498025,8.334794579601787,-0.2,True
womens,visit,4.523310658705299,3.885540297280263,5.155489803791118,-0.2,True
mens,conversion,0.6805006519615695,0.5021550666127578,0.8588491064620295,-0.1,True
womens,conversion,0.3111057511085258,0.15140806328644418,0.4704185727934459,-0.1,True
