outcome,arm,estimate,se,ci_low,ci_high,p_value,p_value_holm
profit,mens,0.29793086235781463,0.058098624099474715,0.18502501944734118,0.4148625332793505,2.928065201412977e-07,5.856130402825954e-07
profit,womens,0.1597648863746387,0.052133143411676464,0.05820091442074241,0.2626021972049411,0.0021799407266198667,0.0021799407266198667
visit,mens,0.07658956365153125,0.0033858878117283653,0.0699250411498025,0.08334794579601788,0.0,
visit,womens,0.045233106587052985,0.003234462099090751,0.03885540297280263,0.05155489803791118,0.0,
conversion,mens,0.006805006519615695,0.0009208727857351216,0.005021550666127578,0.008588491064620295,1.4721557306529576e-13,
conversion,womens,0.003111057511085258,0.0008226770775551195,0.001514080632864442,0.004704185727934459,0.00015580695663630628,
spend,mens,0.7698271558945368,0.14524656024868676,0.49092279310890874,1.0623097090712827,1.1571368885299194e-07,
spend,womens,0.4244122159365967,0.13033285852919116,0.17144588362730354,0.6873393300704955,0.0011284596637324285,
