arm,x_removed,tau_hat
mens,0.0,0.29793086235781463
womens,0.0,0.1597648863746387
mens,0.001,0.24986579624295904
womens,0.001,0.1350028231005004
mens,0.005,0.11767507131432864
womens,0.005,0.04278366827843702
mens,0.01,0.02014213246100603
womens,0.01,-0.009999999999999998
mens,0.02,-0.009999999999999998
womens,0.02,-0.009999999999999998
