metric,delta_hat,ci_lower,ci_upper,p_two_sided,p_delta_gt_0,B,seed,notes
profit,0.13816597598317593,0.012726032163917695,0.2642295675308758,0.028997100289971003,0.9856014398560144,10000,20240101,exploratory_two_sided_bootstrap
spend,0.34541493995794004,0.03181508040979418,0.6605739188271896,0.028997100289971003,0.9856014398560144,10000,20240101,exploratory_two_sided_bootstrap
