arm,x_removed,tau_hat,ci_low,ci_high
mens,0.0,0.29793086235781463,0.18433453665443336,0.4115631425710729
womens,0.0,0.1597648863746387,0.0597031224960164,0.2628033405465572
mens,0.05,0.23761308842817008,0.1525533483069454,0.3234746209693642
womens,0.05,0.13557480494394125,0.0591646975674129,0.21283991807202868
mens,0.1,0.18997743561988145,0.12028451661811969,0.2605872312026984
womens,0.1,0.1165219766101332,0.04971996015049372,0.18415357832261825
mens,0.2,0.12351758467087043,0.07176664832484321,0.17550739891973394
womens,0.2,0.08196383330654397,0.031586174798502294,0.133822170143091
