arm,n,mean_profit,tau_hat,ci_lower,ci_upper,p_value_one_sided,p_value_holm,reject_holm,mes_pass,guardrail_visit_pass,guardrail_conversion_pass,guardrails_pass,eligible,selected,note
mens,21307,0.5590466044023091,0.29793086235781463,0.18502501944734118,0.4148625332793505,9.999000099990002e-05,0.00019998000199980003,True,True,True,True,True,True,True,primary_one_sided;mens_vs_womens_exploratory
womens,21387,0.4208806284191332,0.1597648863746387,0.05820091442074241,0.2626021972049411,0.0010998900109989002,0.0010998900109989002,True,True,True,True,True,True,False,primary_one_sided;mens_vs_womens_exploratory
