score_type,decile,n,score_min,score_max,value_hat,ci_low,ci_high,estimator
dprofit_mens,0,6400,-10.20394747195925,-0.36309025576073856,0.5421849951221396,0.25901005358306833,0.8980723639044301,dr
dprofit_mens,1,6426,-0.36297324214409304,-0.06415261491101491,0.877029169403642,0.4884473516571285,1.3221779691442075,dr
dprofit_mens,2,7317,-0.06414614155735214,-0.01,0.41098582919192267,0.17761969685359408,0.7121608940025378,dr
dprofit_mens,3,5458,-0.00998260799856743,0.024065326953748002,0.643632786448489,0.325211079288179,1.0204273054302022,dr
dprofit_mens,4,6404,0.024085380116959057,0.09174208997964374,0.33342269611402,0.1536238908163359,0.5538545219580883,dr
dprofit_mens,5,6395,0.09177108624708626,0.19768943760742852,0.5183494616876011,0.2503352309150622,0.8541187705715665,dr
dprofit_mens,6,6400,0.19769391937744263,0.3715080366905121,0.3814751680901549,0.19621367685527782,0.6029538352380192,dr
dprofit_mens,7,6400,0.37154151416843284,0.6586071304945746,0.6008677063092597,0.36167806422976295,0.865736606849802,dr
dprofit_mens,8,6400,0.6586313399370237,1.3169776185160824,0.7492010669382776,0.40892058627723166,1.1242465202568905,dr
dprofit_mens,9,6400,1.31714002394819,12.860603703569295,0.5681755882009224,0.15559079025447203,0.9921133561709171,dr
max_dprofit,0,6400,-9.939363266152556,-0.23889417739188912,0.4935455863177184,0.21300086778295466,0.871980255270821,dr
max_dprofit,1,6419,-0.23878189285565465,-0.007289922480620155,0.4148333900752643,0.2228178035647303,0.630196373493237,dr
max_dprofit,2,6381,-0.007265596086259176,0.06347431450378424,0.4552532550798927,0.21815449315267976,0.7523670638212716,dr
max_dprofit,3,6404,0.06347611487187038,0.15568662205229555,0.24595824614838988,0.11852832807240808,0.3951308238795479,dr
max_dprofit,4,6396,0.1556958236478004,0.2710149898210951,0.4219446898219775,0.16725291486076077,0.731017597606501,dr
max_dprofit,5,6400,0.27101526036802387,0.44299498092904305,0.3841866255871082,0.21981566332448046,0.5856853610430897,dr
max_dprofit,6,6400,0.4430251608738329,0.6797384790687344,0.275811616361665,0.13369303141520505,0.43384190800428923,dr
max_dprofit,7,6400,0.6798211846411207,1.070761007666424,0.4930504661750129,0.22409088413844042,0.8206467406382814,dr
max_dprofit,8,6400,1.0707866804269348,1.9424056152772138,0.8788501162898593,0.511423797883807,1.3040595573287073,dr
max_dprofit,9,6400,1.9431397392553988,12.860603703569295,0.8075651025436401,0.2921336635967611,1.3613602000067144,dr
