policy,method,m,c,k,value_hat,se_boot,ci_low,ci_high,treated_rate,notes
treat_none,t_learner,0.4,0.01,,0.22893375000000002,0.03950046234914477,0.15549841875,0.3100625343750001,0.0,ipw;test_split
treat_all_mens,t_learner,0.4,0.01,,0.5120696250000001,0.06535856614542113,0.3880882218750001,0.64493960625,1.0,ipw;test_split
treat_all_womens,t_learner,0.4,0.01,,0.3970580625000001,0.05335026615287851,0.29414817656250003,0.5030733562499999,1.0,ipw;test_split
send_or_not_mens,t_learner,0.4,0.01,,0.32626462500000003,0.04874930145388288,0.23522784375000003,0.4232239640625,0.60078125,ipw;test_split
best_of_three,t_learner,0.4,0.01,,0.332550375,0.04181110536457655,0.2529202171875001,0.4164739078125,0.77634375,ipw;test_split
top_k_best_of_three,t_learner,0.4,0.01,0.01,0.23019506250000007,0.03978958029775856,0.1546758375,0.31153062187499986,0.01,ipw;test_split
top_k_best_of_three,t_learner,0.4,0.01,0.05,0.24390712500000003,0.04169025748934779,0.1637088140625,0.327679809375,0.05,ipw;test_split
top_k_best_of_three,t_learner,0.4,0.01,0.1,0.2186821875,0.036981533787903254,0.14643099375000004,0.2925296015625001,0.1,ipw;test_split
top_k_best_of_three,t_learner,0.4,0.01,0.2,0.23225381250000005,0.03735596643753322,0.16179246562500005,0.30840224062500005,0.2,ipw;test_split
