k,estimator,value_hat,ci_low,ci_high,treated_rate
0.01,ipw,0.28851665625000006,0.22346973281250007,0.357134990625,0.01
0.01,dr,0.281579639393286,0.21321968937300426,0.35110387273238175,0.01
0.05,ipw,0.3156304687500001,0.24087475312500004,0.3958719679687501,0.05
0.05,dr,0.30760216919189803,0.2325369047371054,0.38565288276210313,0.05
0.1,ipw,0.33014287500000006,0.26202974765625003,0.40530258750000003,0.1
0.1,dr,0.3189733446545579,0.24296127948496415,0.3965937257895259,0.1
0.2,ipw,0.3791836875000001,0.30339947109375004,0.4598607796875,0.2
0.2,dr,0.3660281649211786,0.288513074230739,0.4495749790511988,0.2
